Week,china,putin,iran,refugee,syria
2008-11-09 - 2008-11-15,52,1,8,1,2
2008-11-16 - 2008-11-22,50,1,8,1,2
2008-11-23 - 2008-11-29,48,1,8,1,1
2008-11-30 - 2008-12-06,49,1,8,1,2
2008-12-07 - 2008-12-13,49,1,8,1,1
2008-12-14 - 2008-12-20,46,1,7,1,2
2008-12-21 - 2008-12-27,42,1,8,1,2
2008-12-28 - 2009-01-03,45,1,8,1,2
2009-01-04 - 2009-01-10,48,1,8,1,2
2009-01-11 - 2009-01-17,51,1,9,1,2
2009-01-18 - 2009-01-24,50,1,8,1,2
2009-01-25 - 2009-01-31,46,1,8,1,2
2009-02-01 - 2009-02-07,47,1,9,1,2
2009-02-08 - 2009-02-14,47,1,9,1,2
2009-02-15 - 2009-02-21,47,1,8,1,2
2009-02-22 - 2009-02-28,49,1,8,1,2
2009-03-01 - 2009-03-07,49,1,8,1,2
2009-03-08 - 2009-03-14,50,1,8,1,2
2009-03-15 - 2009-03-21,50,1,9,1,2
2009-03-22 - 2009-03-28,51,1,8,1,2
2009-03-29 - 2009-04-04,50,1,8,1,2
2009-04-05 - 2009-04-11,48,1,8,1,2
2009-04-12 - 2009-04-18,51,1,8,1,2
2009-04-19 - 2009-04-25,53,1,10,1,2
2009-04-26 - 2009-05-02,49,1,8,1,2
2009-05-03 - 2009-05-09,49,1,8,1,2
2009-05-10 - 2009-05-16,49,1,8,1,2
2009-05-17 - 2009-05-23,51,1,8,1,2
2009-05-24 - 2009-05-30,49,1,9,1,2
2009-05-31 - 2009-06-06,50,1,9,1,2
2009-06-07 - 2009-06-13,49,1,15,1,2
2009-06-14 - 2009-06-20,47,1,36,1,1
2009-06-21 - 2009-06-27,44,1,39,1,2
2009-06-28 - 2009-07-04,44,1,13,1,2
2009-07-05 - 2009-07-11,49,1,10,1,2
2009-07-12 - 2009-07-18,47,1,11,1,2
2009-07-19 - 2009-07-25,48,1,9,1,2
2009-07-26 - 2009-08-01,47,1,9,1,2
2009-08-02 - 2009-08-08,49,2,9,1,2
2009-08-09 - 2009-08-15,50,1,8,1,2
2009-08-16 - 2009-08-22,48,1,7,1,2
2009-08-23 - 2009-08-29,48,1,7,1,2
2009-08-30 - 2009-09-05,49,1,7,1,2
2009-09-06 - 2009-09-12,49,1,7,1,2
2009-09-13 - 2009-09-19,51,1,8,1,2
2009-09-20 - 2009-09-26,51,1,10,1,1
2009-09-27 - 2009-10-03,53,0,11,1,2
2009-10-04 - 2009-10-10,52,1,9,1,2
2009-10-11 - 2009-10-17,52,1,8,1,2
2009-10-18 - 2009-10-24,51,1,8,1,2
2009-10-25 - 2009-10-31,50,1,8,1,2
2009-11-01 - 2009-11-07,50,1,8,1,1
2009-11-08 - 2009-11-14,52,1,8,1,2
2009-11-15 - 2009-11-21,54,1,7,1,2
2009-11-22 - 2009-11-28,51,1,8,1,1
2009-11-29 - 2009-12-05,52,1,8,1,2
2009-12-06 - 2009-12-12,52,1,8,1,2
2009-12-13 - 2009-12-19,47,1,8,1,2
2009-12-20 - 2009-12-26,44,1,8,1,2
2009-12-27 - 2010-01-02,48,1,11,1,2
2010-01-03 - 2010-01-09,48,1,8,1,2
2010-01-10 - 2010-01-16,56,1,8,1,2
2010-01-17 - 2010-01-23,53,1,7,1,2
2010-01-24 - 2010-01-30,50,1,7,1,2
2010-01-31 - 2010-02-06,51,1,9,1,2
2010-02-07 - 2010-02-13,49,1,12,1,2
2010-02-14 - 2010-02-20,47,1,8,1,2
2010-02-21 - 2010-02-27,50,1,8,1,2
2010-02-28 - 2010-03-06,52,1,7,1,2
2010-03-07 - 2010-03-13,52,1,7,1,2
2010-03-14 - 2010-03-20,53,1,7,1,2
2010-03-21 - 2010-03-27,57,1,7,1,2
2010-03-28 - 2010-04-03,52,1,7,1,2
2010-04-04 - 2010-04-10,52,1,8,1,2
2010-04-11 - 2010-04-17,63,1,8,1,2
2010-04-18 - 2010-04-24,56,1,8,1,2
2010-04-25 - 2010-05-01,53,1,8,1,2
2010-05-02 - 2010-05-08,52,1,8,1,2
2010-05-09 - 2010-05-15,53,1,8,1,2
2010-05-16 - 2010-05-22,52,1,8,1,2
2010-05-23 - 2010-05-29,51,1,8,1,2
2010-05-30 - 2010-06-05,50,1,8,1,2
2010-06-06 - 2010-06-12,49,1,9,1,2
2010-06-13 - 2010-06-19,47,0,8,1,2
2010-06-20 - 2010-06-26,48,1,8,1,1
2010-06-27 - 2010-07-03,45,1,7,1,2
