Week,brexit,zika,migrant,gold,oil
2008-05-18 - 2008-05-24,0,0,0,46,43
2008-05-25 - 2008-05-31,0,0,0,46,41
2008-06-01 - 2008-06-07,0,0,0,46,42
2008-06-08 - 2008-06-14,0,0,0,45,44
2008-06-15 - 2008-06-21,0,0,0,46,43
2008-06-22 - 2008-06-28,0,0,0,47,42
2008-06-29 - 2008-07-05,0,0,0,47,42
2008-07-06 - 2008-07-12,0,0,0,48,42
2008-07-13 - 2008-07-19,0,0,0,49,45
2008-07-20 - 2008-07-26,0,0,0,49,46
2008-07-27 - 2008-08-02,0,0,0,47,44
2008-08-03 - 2008-08-09,0,0,0,50,44
2008-08-10 - 2008-08-16,0,0,0,68,43
2008-08-17 - 2008-08-23,0,0,0,64,39
2008-08-24 - 2008-08-30,0,0,0,52,38
2008-08-31 - 2008-09-06,0,0,0,46,40
2008-09-07 - 2008-09-13,0,0,0,48,41
2008-09-14 - 2008-09-20,0,0,0,53,43
2008-09-21 - 2008-09-27,0,0,0,51,40
2008-09-28 - 2008-10-04,0,0,0,52,39
2008-10-05 - 2008-10-11,0,0,0,55,42
2008-10-12 - 2008-10-18,0,0,0,51,43
2008-10-19 - 2008-10-25,0,0,0,53,44
2008-10-26 - 2008-11-01,0,0,0,50,40
2008-11-02 - 2008-11-08,0,0,0,47,37
2008-11-09 - 2008-11-15,0,0,0,49,39
2008-11-16 - 2008-11-22,0,0,0,48,40
2008-11-23 - 2008-11-29,0,0,0,47,35
2008-11-30 - 2008-12-06,0,0,1,48,39
2008-12-07 - 2008-12-13,0,0,0,48,36
2008-12-14 - 2008-12-20,0,0,0,49,36
2008-12-21 - 2008-12-27,0,0,0,49,31
2008-12-28 - 2009-01-03,0,0,0,51,34
2009-01-04 - 2009-01-10,0,0,0,48,38
2009-01-11 - 2009-01-17,0,0,0,47,37
2009-01-18 - 2009-01-24,0,0,0,47,35
2009-01-25 - 2009-01-31,0,0,0,49,34
2009-02-01 - 2009-02-07,0,0,0,48,34
2009-02-08 - 2009-02-14,0,0,0,49,34
2009-02-15 - 2009-02-21,0,0,0,52,34
2009-02-22 - 2009-02-28,0,0,0,52,34
2009-03-01 - 2009-03-07,0,0,0,49,33
2009-03-08 - 2009-03-14,0,0,0,50,34
2009-03-15 - 2009-03-21,0,0,0,48,34
2009-03-22 - 2009-03-28,0,0,0,47,34
2009-03-29 - 2009-04-04,0,0,0,47,33
2009-04-05 - 2009-04-11,0,0,0,48,33
2009-04-12 - 2009-04-18,0,0,0,47,31
2009-04-19 - 2009-04-25,0,0,0,47,33
2009-04-26 - 2009-05-02,0,0,0,46,32
2009-05-03 - 2009-05-09,0,0,0,47,32
2009-05-10 - 2009-05-16,0,0,0,45,32
2009-05-17 - 2009-05-23,0,0,0,46,32
2009-05-24 - 2009-05-30,0,0,0,45,31
2009-05-31 - 2009-06-06,0,0,0,46,32
2009-06-07 - 2009-06-13,0,0,0,45,32
2009-06-14 - 2009-06-20,0,0,0,46,32
2009-06-21 - 2009-06-27,0,0,0,44,31
2009-06-28 - 2009-07-04,0,0,0,46,31
2009-07-05 - 2009-07-11,0,0,0,48,31
2009-07-12 - 2009-07-18,0,0,0,48,32
2009-07-19 - 2009-07-25,0,0,0,49,32
2009-07-26 - 2009-08-01,0,0,0,48,32
2009-08-02 - 2009-08-08,0,0,0,48,32
2009-08-09 - 2009-08-15,0,0,0,47,32
2009-08-16 - 2009-08-22,0,0,0,46,32
2009-08-23 - 2009-08-29,0,0,0,46,32
2009-08-30 - 2009-09-05,0,0,0,45,32
2009-09-06 - 2009-09-12,0,0,0,49,32
